text,label
"ఆసక్తికరమైనది, కాని బలవంతం కాదు.",neg
"కట్టింగ్ రూమ్ అంతస్తులో ఎక్కడో ఉంది. . . నిరాశపరిచే మిస్‌ఫైర్‌కు బదులుగా అటువంటి విషయాన్ని వ్యంగ్యమైన, వ్యంగ్యమైన సాంస్కృతిక వ్యంగ్యంగా మార్చలేని ఫుటేజ్.",neg
"గై రిచీ యొక్క లాక్, స్టాక్ మరియు రెండు స్మోకింగ్ బారెల్స్ మరియు స్నాచ్ లలో నోటీసు పొందిన సమిష్టి ఆటగాడు బాడ్ కలిగి ఉన్నాడు, అతను తన మొదటి నటించిన వాహనం ఆధారంగా ఇంటి పేరుగా మారే అవకాశం లేదు.",neg
పైకి వెళ్ళడానికి ధైర్యం ఉన్న సినిమాలకు మరియు తెలివితక్కువదని పట్టించుకోని సినిమాలకు మధ్య వ్యత్యాసం ఉంది,neg
"దీన్ని విశ్లేషించడంలో ఇక్కడ ఏమీ ఫన్నీగా అనిపించదు, డి నిరో యొక్క కుడి చేతి గూంబా వలె జో విటెరెల్లి కూడా కాదు.",neg
"అటువంటి మాస్టర్ స్క్రీన్ రైటింగ్ జాన్ పోగ్, గతంలో మాకు ""పుర్రెలు"" మరియు గత సంవత్సరం ""రోలర్ బాల్"" ను ఇచ్చిన యేల్ గ్రాడ్ యొక్క సౌజన్యంతో వస్తుంది. తప్ప, ఫిల్మ్ ఓవర్బోర్డ్!",neg
"ఇక్కడ, ఇంగితజ్ఞానం కిటికీ నుండి, బుల్లెట్ల వడగళ్ళతో పాటు ఎగురుతుంది, వీటిలో ఏదీ సాస్చాను తాకినట్లు లేదు.",neg
100 నిమిషాల ఈ చలన చిత్రంలో 25 నిమిషాల మంచి పదార్థాలు మాత్రమే ఉన్నాయి.,neg
"ఉరిశిక్ష చాలా పాదచారులని, మనం చేయగలిగే అత్యంత సానుకూల వ్యాఖ్య ఏమిటంటే, రాబ్ ష్నైడర్ వాస్తవానికి ప్రిస్సీ టీనేజ్ అమ్మాయిగా అందంగా నమ్మదగిన పనితీరును కనబరుస్తాడు.",neg
"సొంతంగా, ఇది చాలా ఆసక్తికరంగా లేదు. రీమేక్‌గా, ఇది లేత అనుకరణ.",neg
కొన్ని స్టూడియోలు ప్రజలు ఆలోచించే సామర్థ్యాన్ని కోల్పోయాయని గట్టిగా నమ్ముతున్నారని మరియు ఒక చిన్న అమ్మాయి-అమ్మాయి చర్య ఉన్నంతవరకు ఏదైనా చిరిగిన ఉత్పత్తిని క్షమించమని ఇది చూపిస్తుంది.,neg
"ఆవరణ యొక్క కామెడీ యొక్క అనుకరణ యొక్క ప్రహసనం, ఇది వాస్తవికతతో పోల్చడం కాదు, ఇది మన చిత్రాల పరిజ్ఞానం గురించి వ్యాఖ్యానం.",neg
"ఈ అన్యదేశవాదం విలక్షణమైన పాక్స్ వీక్షకుడికి అనిపించేంత ఉత్తేజకరమైనది, మనలో మిగిలినవారు కోమాలోకి వస్తారు.",neg
పార్టీ దృశ్యాలు కొన్ని కఠినమైన కిక్‌లను అందిస్తాయి. మిగిలిన చిత్రం. . . డడ్స్‌విల్లే.,neg
రాత్రిపూట టేకిలా బెండర్ తర్వాత స్తంభింపచేసిన బురిటో యొక్క ఉద్రేకంతో మా సంస్కృతి టాయిలెట్‌లోకి వెళుతుంది - మరియు నేను దీనిని తెలుసు ఎందుకంటే నేను 'జాకస్: సినిమా చూశాను. ',neg
"నైతికంగా దివాళా తీసిన పాత్రల వద్ద విమర్శలు ఎప్పుడూ తేలికైన, విరక్త పాట్‌షాట్‌ల కంటే పైకి లేవవు. . .",neg
"చలన చిత్రం యొక్క ఏదో-అరువు నిర్మాణం ప్రేమపూర్వక, బాగా ఇంటిగ్రేటెడ్ నివాళి యొక్క ఉత్పత్తిని తక్కువగా భావిస్తుంది మరియు వన్, సన్నగా గీసిన కథకు కేవలం సాకుగా అనిపిస్తుంది. చంపే సమయం, ఇక్కడ జరుగుతోంది అంతే.",neg
"స్టుపిడ్, శిశు, పునరావృత, అలసత్వము, ఓవర్ ది టాప్, మరియు te త్సాహిక. అవును, ఇది ""రెనోలో మేల్కొంటుంది."" నిద్రకు తిరిగి వెళ్ళు.",neg
"ఎక్కడో మధ్యలో, ఈ చిత్రం బలవంతం చేస్తుంది, డెమ్ ప్రయోగాలు అతను కొన్ని సినిమా క్షణం రత్నాలను పండిస్తాడు, కాని రౌగేజ్ ఫీల్డ్ ఆధిపత్యం చెలాయిస్తుంది.",neg
చర్య క్లిచ్లు కేవలం పైల్.,neg
"ఇరాన్ ఎన్నికల ప్రక్రియ గురించి కొన్ని తీవ్రమైన సమస్యలను లేవనెత్తడానికి పయామి ప్రయత్నిస్తుంది, కానీ ఫలితం పార్టీ రాజకీయ ప్రసారం వలె సూక్ష్మంగా ఉంటుంది.",neg
"ఏకైక ఆశ్చర్యం ఏమిటంటే, హెవీవెయిట్స్ జోయెల్ సిల్వర్ మరియు రాబర్ట్ జెమెకిస్ దీనిని ఉత్పత్తి చేయడానికి అంగీకరించారు; లేడీస్ లోదుస్తులలో దర్శకుడి చిత్రాలు ఉన్నాయని నేను అనుకుంటాను.",neg
క్రూరమైన మిడ్ -70 ల అమెరికన్ స్పోర్ట్స్ మూవీ యొక్క మరొక పనికిరాని రీసైక్లింగ్.,neg
నేను నవ్వలేదు. నేను నవ్వలేదు. నేను బయటపడ్డాను.,neg
"దయచేసి, ఎవరైనా, అతను మరొక చిత్రం చేయడానికి ముందు ఎరిక్ షాఫర్‌ని ఆపండి.",neg
"ఈ చిత్రంతో చాలా సమస్యలు స్క్రీన్ ప్లే నుండి తీసుకోబడవు, కానీ చాలా మంది నటుల మధ్యస్థమైన ప్రదర్శనలు",neg
"&nbsp;. . . మీరు సరదా కోసం మానసిక స్థితిలో ఉంటే - కాని చెడ్డది - చలనచిత్రం, మీరు విచిత్రాలను మ్యాటినీగా పట్టుకోవాలనుకోవచ్చు.",neg
కర్లింగ్ ఒక ప్రత్యేకమైన క్రీడ కావచ్చు కాని చీపురుతో ఉన్న పురుషులు స్పష్టంగా సాధారణం.,neg
"ఒపెరా ఎక్కువగా ఇంటి లోపల జరుగుతుంది, అయితే, జాక్వోట్ సెట్‌లో ఎలాంటి సహజత్వాన్ని ప్రేరేపించాలో తెలియదు.",neg
ఇది మళ్లీ సందర్శించిన మేధావుల పగ అని వాస్తవం లేదు.,neg
"ప్రయత్నం చిత్తశుద్ధి మరియు ఫలితాలు నిజాయితీగా ఉన్నాయి, కానీ ఈ చిత్రం చాలా అస్పష్టంగా ఉంది, ఇది చూడదగినది కాదు.",neg
"మునుపటి చిత్రం యొక్క అనేక విజయాలను పునరుద్ఘాటించి, నీరు పోస్తుందని విశ్లేషించండి, కొన్ని కొత్త స్వింగ్‌లు విసిరివేయబడతాయి.",neg
"కథనం కొనసాగింపు లేకపోవటానికి ఫ్లాష్‌బల్బ్ ఎడిటింగ్‌తో, వివాదాస్పదమైనది దాదాపు అసంబద్ధం, ముగింపు మ్యాచ్‌కు వెళ్ళడానికి ఒక అవసరం లేదు. . . ఏ సమయానికి ఎవరు గెలుస్తారో పట్టించుకోవడం అసాధ్యం.",neg
చీకటి యొక్క తడి బుర్లాప్ బస్తాల వలె ప్రారంభం నుండి ముగింపు వరకు దుర్వాసన వస్తుంది.,neg
"నాగరిక మనస్సుకి, బాలిస్టిక్ వంటి చిత్రం: ecks vs. విడదీయడం వినోదం కంటే ఎక్కువ పరీక్ష.",neg
1984 మరియు ఫారెన్‌హీట్ 451 యొక్క నిరంకుశ ఇతివృత్తాలపై పదమూడు సంవత్సరాల పుస్తక నివేదిక కోసం ఎకులిబ్రియం ఉత్తీర్ణత సాధించగలదు.,neg
సహజత్వం లేకపోవడం వల్ల ప్రతిదీ స్వీయ-చైతన్యంతో కవితాత్మకంగా మరియు బలవంతంగా కనిపిస్తుంది. . . [నెల్సన్ యొక్క విజయం అతని ఆశయానికి సరిపోలడం లేదు.,neg
ప్రతిదీ ఆపివేయబడింది.,neg
"నారింజ జైలు జంప్‌సూట్‌లో సీగల్ కనిపించినప్పుడు, నేను థియేటర్‌లో నిలబడి, 'హే, కూల్-ఎయిడ్! '",neg
"దాని ప్రధాన పాత్ర యొక్క బాధించే ప్రవర్తన తప్ప, సులభమైన గడియారం.",neg
"'లవ్ స్టోరీ' యొక్క క్లీన్‌ఫ్లిక్స్ వెర్షన్‌ను imagine హించుకోండి, అలీ మాక్‌గ్రా యొక్క అశ్లీలతలతో రొమాన్స్-నవల ప్లాటిట్యూడ్స్‌తో భర్తీ చేయబడింది.",neg
"pc స్థిరత్వం ఉన్నప్పటికీ, ఈ చిత్రం సరళమైన కథనం మరియు పాట్, అద్భుత కథల ముగింపుతో బాధపడుతోంది.",neg
"తప్పుదోవ పట్టించే శీర్షికను మరచిపోండి, వివరించలేని బబూన్ అతిధి పాత్రతో ఏమిటి?",neg
"బేసి, అస్పష్టత మరియు అసంభవమైన శృంగార కామెడీ.",neg
"ఆమె అభిమానులు ఖచ్చితంగా వారి ఫన్నీ ఎముకలను చికాకు పెట్టినప్పటికీ, ఇతరులు వారి హాస్యం కోరుకునే డాలర్లను వేరే చోట ఉత్తమంగా ఖర్చు చేస్తారు.",neg
"పాస్కేల్ బెయిలీ యొక్క rom-com అమేలీ యొక్క ఆడ్రీ టాటౌను మరొక ఫాబులెక్స్ డెస్టిన్‌తో అందిస్తుంది - i. ఇ. , ఒక సామాన్య ఆధ్యాత్మిక తపన.",neg
"ఒక స్టాటిక్ మరియు షుగర్ చిన్న అరగంట, ఇంటర్‌ఫెయిత్ అవగాహన గురించి పాఠశాల తర్వాత ప్రత్యేకమైనది, 90 నిమిషాల వరకు విస్తరించింది.",neg
"ఫ్రీమాన్ మరియు జడ్ మధ్య కెమిస్ట్రీని చూడటం, అయితే, ఈ సినిమాను చూడటానికి విలువైనదిగా చేస్తుంది. దాదాపు .",neg
&nbsp;. . . అనారోగ్య మరియు దుష్ట మహిళ యొక్క ప్రవర్తనా మరియు చివరికి ఖాళీ పరీక్ష.,neg
"దేశం ఎలుగుబంట్లు యువ ప్రేక్షకులను కలవరపెట్టే లేదా భయపెట్టే దృశ్యాలు లేవు. దురదృష్టవశాత్తు, ఈ ఫ్లాట్ ప్రయత్నంలో దాదాపు ఏమీ లేదు, వాటిని రంజింపజేయడం లేదా వినోదం ఇవ్వడం.",neg
"ఈ 65 నిమిషాల నిరుపయోగంగా చూడటం యొక్క సంచిత ప్రభావం చిక్కుకున్నట్లుగా ఉంటుంది, అయితే కొంతమంది విచిత్రమైన బంధువు అతను కుటుంబ సెలవుదినం స్టోన్హెంజ్ కోసం తీసుకున్న వీడియోను బయటకు తీస్తాడు. చాలాకాలం ముందు, మీరు సాయంత్రం ముగియడానికి నిరాశగా ఉన్నారు.",neg
అక్షరాలు ఎప్పుడూ స్కెచ్‌ల కంటే ఎక్కువ కాదు. . . ఇది నిజమైన భావోద్వేగ కనెక్షన్ లేదా గుర్తింపును నిరాశపరిచింది.,neg
"ఇక్కడ మాట్టే యొక్క అభివృద్ధి చెందని ప్రయత్నం బ్రూడింగ్ వ్యక్తిత్వాల యొక్క అనుకూలమైన కన్వేయర్ బెల్ట్ తప్ప మరొకటి కాదు, వారు స్టాక్ క్యారెక్టర్ క్యాంప్ నుండి తిరిగి వస్తున్నట్లుగా కవాతు చేస్తారు - దాని స్వంత ప్రవర్తనా స్వీయ పరీక్ష ద్వారా మోహానికి గురైన ఒక మగత నాటకం.",neg
దాని చివరి ఆశ్చర్యకరమైన షాట్లలో మాత్రమే కుందేలు-ప్రూఫ్ కంచె అది వెతుకుతున్న అధికారాన్ని కనుగొంటుంది.,neg
"అసలు అంత పదునైనది కాదు. . . కొన్ని దృశ్య ధర్మాలు ఉన్నప్పటికీ, 'బ్లేడ్ ii' దానిని కత్తిరించదు.",neg
"&nbsp;. . . చెడుగా సవరించిన, 91 నిమిషాల ట్రెయిలర్ (మరియు) వంటి నాటకాలు దర్శకుడు ఒక పొందికైన లయను పొందలేడు. నిజానికి, ఆమె ప్రయత్నించినట్లు కూడా అనిపించదు.",neg
"హే, బేస్ బాల్ ఆడే కోతి గురించి సినిమా అధ్వాన్నంగా ఉంది అని లెబ్లాంక్ అనుకున్నాడు.",neg
మీరు ఆశించేది మీకు లభిస్తుంది. . . ఆరవ తరగతి ఎత్తు కంటే అంచనాల పట్టీ పెంచబడలేదు.,neg
బారీ సొన్నెన్‌ఫెల్డ్ పగ్‌కు పెద్ద సమయం ఇవ్వాల్సి ఉంది,neg
"mpaa కి వ్యతిరేకంగా రోజర్ అవేరి యొక్క కోలాహలంతో ఉన్న పెద్ద సమస్య ఏమిటంటే, దాని దర్శకుడి కట్ కీర్తిలో కూడా, అతను కేవలం షాకింగ్, కేవలం ఆసక్తికరంగా మరియు అన్నింటికంటే, ఏదైనా ఏదైనా సినిమా చేసాడు.",neg
"కాబట్టి జవాబు లేని ప్రశ్నలతో చిక్కుకున్నది, దానికి విశ్వాసం యొక్క అద్భుతమైన దూకుడు అవసరం.",neg
"నేను అషర్ వద్దకు చేరుకున్నాను మరియు ఆమె మళ్ళీ దాని ద్వారా కూర్చోవలసి వస్తే, ఆమె పెంచమని అడగాలి.",neg
ఉత్సాహపూరితమైన కానీ భారీ చేతితో.,neg
"సైనైస్ పాత్రకు మెదడు ఉంటే అతని అగ్ని పరీక్ష ఐదు నిమిషాల్లోనే అయిపోతుంది, కానీ బదులుగా అతను పొరపాట్లు చేయటానికి అడ్డంకులను ప్రవేశపెట్టడానికి ప్లాట్లు దాని నుండి బయటపడతాయి.",neg
"చిన్నవారికి చాలా నెమ్మదిగా, పాతవారికి చాలా నిస్సారంగా ఉంటుంది.",neg
"స్టూడియో ముందస్తు స్క్రీనింగ్ ఇవ్వకపోవడానికి ఒక కారణం ఉంది. ""ప్లూటో నాష్ యొక్క సాహసాలు"" ఒక పెద్ద సమయం దుర్వాసన.",neg
"ఆవరణ లేని పంచ్ లైన్, సగం డైమెన్షనల్ పాత్రల యొక్క జ్ఞాపకాల నుండి పూర్తిగా నిర్మించిన జోక్.",neg
"మనకు నచ్చని ఒక పాత్రను మరియు మనం నమ్మని మరొక పాత్రను తీసుకుంటుంది మరియు వాటిని సంకల్పం యొక్క యుద్ధంలో ఉంచుతుంది, అది పట్టించుకోవడం అసాధ్యం మరియు చాలా ఫన్నీ కాదు.",neg
ఈ చిత్రం ప్రేక్షకులను కొనుగోలు చేయడానికి ప్రయత్నించే విషయాలు చాలా తెలివైన ప్రేక్షకులతో ఎగరవు.,neg
"క్యాంపస్ నీచం గురించి ఒక చిత్రంలో చాలా మంది యువ నటుల మనోహరమైన అవకాశాలు ఉద్దేశపూర్వకంగా, అలసటతో కూడిన వికారాల మధ్య మసకబారకపోయినా, నాటకీయ ఆసక్తితో కూడిన కథను కూడా నిర్మించడంలో అవేరి విఫలమవడం వలన ఇది చాలా శ్రమతో కూడుకున్నది.",neg
"చివరి రీల్ (స్పాయిలర్ హెచ్చరిక!) ద్వారా కూర్చోవడం అతిశయోక్తి కాదు, అతిశయోక్తికి అభిరుచి ఉన్న నాలుగేళ్ల వయస్సు వినడం కంటే, అతను హాంటెడ్ ఇంటికి తన హాలోవీన్ యాత్రను వివరించాడు.",neg
"దయచేసి సంతోషించాలనే అంతిమ కోరికతో దాని సందేశాన్ని గందరగోళానికి గురిచేస్తుంది, మరియు నిరీక్షణ యొక్క ఆలోచనగా మారడం ఈ ముగ్గురు నటీమణులలో ఎవరికైనా, లేదా వారి పాత్రలకు అర్హమైన చివరి విషయం.",neg
"పోయిన విత్తన హోటల్‌లో ఓడిపోయినవారిపై ఘోరమైన నీరసమైన, అర్ధంలేని ధ్యానం.",neg
"ఈ కొత్త రోలర్‌బాల్‌తో, రోబోటిక్ సెంటిమెంట్‌గా మాత్రమే వర్ణించబడే దాని ద్వారా సెన్స్ మరియు సెన్సిబిలిటీ ఆక్రమించబడ్డాయి.",neg
2002 యొక్క సన్డాన్స్ ఫెస్టివల్‌లో వాల్డో సాల్ట్ స్క్రీన్ రైటింగ్ అవార్డుతో స్టార్ హాఫ్మన్ సోదరుడికి గోర్డి ఇచ్చిన జ్యూరీ వాస్తవానికి దాన్ని తీసివేయడం కంటే భిన్నమైనదాన్ని చేసే ప్రయత్నాన్ని గౌరవిస్తోందని మాత్రమే అనుకోవచ్చు.,neg
"సిఫారసు చేయబడినదానికంటే ఎక్కువ సూచించబడే చలన చిత్రం - దంతవైద్యుల నిరీక్షణ గది వలె దృశ్యమానంగా, ఓదార్పు ముజాక్‌తో మరియు nar హించదగిన కథన లయల పరిపుష్టితో పూర్తి.",neg
"శృంగారానికి కథతో పెద్దగా సంబంధం లేదు, ఇది మీ బాధ్యతలను ప్రయత్నించడం మరియు తప్పించుకోవడం ఎంత మందకొడిగా ఉందో మరియు మీరు ఎప్పుడూ, ఒక పెద్ద కుక్కను పసిబిడ్డతో ఒంటరిగా వదిలివేయకూడదు. కానీ అన్నింటినీ పర్వాలేదు; వక్షోజాలు ఫాంటస్తి",neg
"స్క్రిప్ట్ భారీ, భారీ విషయాలను చప్పగా, ఉపరితలంగా వర్తిస్తుంది, ఉదాహరణకు చెడు వ్యక్తులకు మంచి విషయాలు ఎందుకు జరుగుతాయి అనే దానిపై ఎటువంటి అవగాహన ఇవ్వదు.",neg
"పరాయీకరణ యొక్క చిత్రం చాలా ఖచ్చితమైనది, ఇది చాలా మంది ప్రేక్షకులను దూరం చేయడంలో ఖచ్చితంగా విజయం సాధిస్తుంది.",neg
కోడ్ టాకర్స్ బోలు నివాళి కంటే మంచివారు.,neg
చలన చిత్రాన్ని దాటవేసి ఫిలిప్ గ్లాస్ సౌండ్‌ట్రాక్ సిడిని కొనండి.,neg
కదలికల గుండా వెళుతున్న ఒక చల్లని వృద్ధుడిలా అనిపిస్తుంది.,neg
గౌరవప్రదమైన సియోస్ ఒక మోటైన తిరోగమనం వద్ద కలుస్తుంది మరియు ఒక చెట్టుకు వ్యతిరేకంగా పీ. మీరు నవ్వును భరించగలరా?,neg
"నిస్తేజమైన మరియు యాంత్రిక, చాలా గూఫీ మ్యూజియం ప్రదర్శన వంటిది",neg
"జోన్ యొక్క ప్రీఫెమినిస్ట్ దుస్థితికి సమకాలీన వ్యాఖ్యానం లేదు, కాబట్టి చలనచిత్రం చేయడానికి ఏకైక కారణం ఏమిటంటే ప్రస్తుత ప్రమాణాలు నగ్నత్వాన్ని పుష్కలంగా అనుమతించటం వల్లనే.",neg
చమత్కారమైన బ్రిట్-కామ్ జాగ్రత్త. వారు హాస్యభరితమైన నుండి శ్రమతో కూడిన సెంటిమెంట్ వరకు ఒక డైమ్ ఆన్ చేయవచ్చు.,neg
దాని క్షణాలు ఉన్నాయి - మరియు దాదాపు చాలా సబ్‌ప్లాట్‌లు.,neg
వంచనలు మరియు స్క్రిప్ట్ మిశ్రమ బ్యాగ్.,neg
పూర్తిగా భయంకరమైన ఇరానియన్ నాటకం. . . ఒక చల్లని మసీదులో ఒక గుసగుస అయతోల్లా వలె చాలా సరదాగా ఉంటుంది.,neg
"కథనం ప్రకారం, ప్రతిరోజూ ఇబ్బంది అనేది గందరగోళంగా ఉంది.",neg
బ్లాండ్ హాలీవుడ్ రొమాన్స్ ప్రయోజనాల కోసం బైట్ యొక్క ప్లాట్ యొక్క ఎముకలను తీయడంలో అర్థం లేదు.,neg
"దర్శకులు జాన్ మస్కర్ మరియు రాన్ క్లెమెంట్స్, లిటిల్ మెర్మైడ్ వెనుక ఉన్న బృందం, మెరిసే రెటీనా మిఠాయిని తయారు చేసింది, కాని వారు స్థలం యొక్క చల్లని శూన్యంలో చాలా భావోద్వేగ ప్రతిధ్వనిని సేకరించలేరు.",neg
"ఆడమ్ సాండ్లర్ యొక్క గుండె సరైన స్థలంలో ఉండవచ్చు, కానీ అతను తన తలని తన బట్ నుండి బయటకు తీయాలి",neg
"ఇది అహంభావానికి అత్యంత ప్రతిష్టాత్మకమైన మరియు వ్యక్తిగత ప్రాజెక్టు అని ఎటువంటి సందేహం లేదు, కానీ ఇది అతని ఉత్తమ పని పక్కన, వికృతమైన మరియు మెలికలు తిరిగినట్లు అనిపిస్తుంది.",neg
"ఆఫ్‌బీట్ టచ్‌లలో నిమగ్నమై ఉన్నప్పటికీ, నాకరౌండ్ కుర్రాళ్ళు అరుదుగా రైసన్ డి'ట్రే చుట్టూ తన్నడానికి ఆసక్తి కనబరుస్తారు, అది దాని యువ-తుపాకుల తారాగణం వలె తాజా ముఖం.",neg
"ఇదంతా చాలా మచ్చిక. ఈ చిత్రం గురించి చాలా అభ్యంతరకరమైన విషయం ఏమిటంటే, ప్రజలు దీనిని చూడటానికి చెల్లించాలని హాలీవుడ్ ఆశిస్తుంది.",neg
చిత్రం ప్రారంభం నుండి ముగింపు వరకు గందరగోళంగా ఉంది.,neg
"ఈ రాణిని పూర్తిగా ఆధునిక కన్యగా మార్చడంలో ఇబ్బంది ఏమిటంటే, అది ఆమెను మానసిక అనారోగ్యానికి గురిచేసే దానికంటే మూర్ఖంగా మరియు నిస్సారంగా కనిపించేలా చేస్తుంది.",neg
"మంచు యుగంలో చాలా అందమైన చిత్రాలు లేవని నేను చెప్పడం లేదు, కాని వాస్తవానికి వారికి జీవితాన్ని ఇవ్వడానికి కథలో తగినంత పదార్థం లేదు.",neg
"ఎక్కువగా చెప్పని కథను చెప్పడంలో, బుయి చివరికి అనుమానాస్పదంగా తెలిసినదాన్ని ఉత్పత్తి చేయడానికి ఎంచుకుంటాడు.",neg
"ఈ ప్లాట్లు ప్రారంభం నుండి ముగింపు వరకు బాయిలర్‌ప్లేట్ క్లిచ్‌లు తప్ప మరొకటి కాదు, మరియు లక్ష్య ప్రేక్షకులపై సూక్ష్మభేదం పోతుందని స్క్రిప్ట్ umes హిస్తుంది, కానీ వారు ఇప్పటికే ఈ ఖచ్చితమైన సినిమాను వందసార్లు చూశారని గ్రహించడం కూడా చాలా తెలివితక్కువదని",neg
చివరికి మెదడు చనిపోయిన ఉత్పత్తి.,neg
"కొన్ని ఎపిసోడ్లు పని చేస్తాయి, కొన్ని పని చేయవు.",neg
అందంగా చిత్రీకరించబడింది మరియు బాగా నటించింది. . . కానీ దాని కథన ప్రత్యేకతలలో సమస్యాత్మకంగా ఉంది.,neg
"j. ఈ చిత్రం హాలిడే బాక్సాఫీస్ పైలో తన వాటాను సంపాదిస్తుంది, అయినప్పటికీ ఈ చిత్రం ఒక విషయం స్పష్టంగా తెలుపుతుంది: ఆమె ఒక అందమైన మహిళ, కానీ ఆమె పని చేసే అమ్మాయి కాదు.",neg
"రైమర్ నవ్వులను విశ్వసించడు - మరియు మొత్తం చనిపోయిన-మరణించిన తరువాత వచ్చిన కళాకారుల అనుచరులకు సరైన గౌరవాన్ని ఇవ్వడు, వీరు కొన్ని భయంకరమైన ప్రత్యేక ప్రభావాల కంటే రక్తపిపాసి పిక్ నుండి ఎక్కువ అర్హులు.",neg
"చలన చిత్రం యొక్క సోప్రానోస్ వంచనలు నమ్మశక్యం కానివి మరియు అసంబద్ధమైనవి మాత్రమే కాదు, ఈ 'మేము-చేస్తున్నాము-నగదు కోసం' సీక్వెల్ యొక్క నిర్మాతలు ఎంత నిరాశకు గురయ్యారో కూడా వారు ప్రదర్శిస్తారు.",neg
వావ్. నేను చాలా కాలంగా ఈ చిత్రం ద్వారా నిరాశపడలేదు.,neg
"హుక్ ఆఫ్ దీర్ఘకాలం మరియు బాగా నటించలేదు, కానీ క్రెడిట్ రచయిత-నిర్మాత-దర్శకుడు ఆడమ్ వాట్స్టెయిన్ దానిని పూర్తి చేయడంతో.",neg
నెట్టెల్బెక్ పని చేసే మహిళలను - లేదా కనీసం ఈ పని చేసే స్త్రీని ఎలా చూస్తుందో అది ఒక లాగడం.,neg
"చలన చిత్రం సమయంలో శారీరకంగా మరియు మానసికంగా విచ్ఛిన్నం అవుతున్నప్పుడు హారిస్ హామ్ దానిని చూడటం అతని ఇటీవలి మరణం వెలుగులో ఒక నిర్దిష్ట విషాన్ని కలిగి ఉంది, కాని బోయ్డ్ యొక్క చిత్రం పరిణామాలను చాలా తక్కువగా అందిస్తుంది.",neg
"ఈ చిత్రం, అదేవిధంగా అనారోగ్యంతో కూడిన యాంటీట్రస్ట్ లాగా, బడ్జెట్లో కొంత భాగానికి తేలికగా ఉంటుంది.",neg
"'ఎజెంప్లో డి ఉనా సింటా ఎన్ క్యూ నో ఇంపార్టా ఎల్ టాలెంటో డి సు రిపార్టో ఓ లో ఇంటరాసెంట్ క్యూ పుడో హబర్ రిజల్టాటో సు ప్రీమిసా, ప్యూస్ ఎల్ రిజల్టాటో ఎస్ ఫ్రాంకామెంటే అబురిడో వై, పోర్ మొమెంటోస్, దు lo ఖకరమైనది. '",neg
2002 యొక్క రాడార్ స్క్రీన్‌పై బ్లిప్‌ను నమోదు చేసే సినిమాల్లో ఇది బహుశా ఒకటి కావచ్చు.,neg
"సమస్య ఇదంతా ఉత్పన్నం కాదు, ఎందుకంటే ఫన్నీ సినిమాలు పుష్కలంగా పాత ట్రోప్‌లను రీసైకిల్ చేస్తాయి. సమస్య ఏమిటంటే వాన్ వైల్డర్ వాస్తవానికి పదార్థంతో సరదాగా ఉంటుంది.",neg
నమ్మకద్రోహంలో ఆసక్తికరంగా ఏమీ లేదు.,neg
చిత్రనిర్మాతలు ఆలోచించినట్లుగా వీటిలో ఏదీ సగం కదలదు.,neg
ప్రాసెస్డ్ కామెడీ చాప్ స్యూ.,neg
